blood_pixels,blood_coverage,int_mean,int_std,int_min,int_max,int_median,int_p10,int_p90,int_cv,int_entropy,mist_frac_pixels,dark_core_frac_pixels,total_stains,mean_area,median_area,std_area,max_area,stains_per_Mpx,dominant_ratio,top3_ratio,frac_small,frac_large,num_passive_like,frac_passive_like,dist_mean_norm,dist_std_norm,dist_mean_intw,dist_std_intw,r50_norm,r90_norm,radial_density_slope,outer_pixel_frac,outer_inner_density_ratio,mean_aspect_small,mean_aspect_large,frac_elongated_small,frac_elongated_all,elong_orientation_std_deg,elong_outer_frac,nn_mean_norm,nn_std_norm,mean_R,mean_G,mean_B,mean_S,mean_V,mean_Rdom,path,label
430851.0,0.008640522220439595,135.9764862060547,55.809059143066406,14.0,247.0,133.0,62.0,216.0,0.410431687785073,0.9652064103747027,0.3045925389519811,0.3040285388684255,11539.0,37.33867752838201,12.0,98.77940069457253,3355.0,231.409433659554,0.007786914733863911,0.020735706775660265,0.3777623710893492,0.2550480977554381,4623.0,0.4006413034058411,0.10610639688665521,0.057683049189473194,0.10626624145073897,0.05779275164574604,0.09732939387912455,0.18281809496774687,-21.61310667043389,0.6225980675453927,0.0916204776726089,0.9095537238336066,0.8459983220237539,0.006423491626519844,0.04237802235895658,25.390212978955702,0.04296125815113157,0.0032973142037037934,0.003401345023223987,184.25655505035382,118.62073199319487,98.70003319012838,130.9228294700488,184.25655505035382,125.07919095000359,C:\BPA\data\Gunshot\GS - 110.jpg,gunshot
316997.0,0.006357231670142788,157.5561981201172,45.05033874511719,39.0,247.0,157.0,96.0,219.0,0.28593187063856407,0.9315238364135601,0.30265901570046405,0.3018419732678858,8393.0,37.76873585130466,14.0,92.44699848909238,3040.0,168.31782448259267,0.009590117131924049,0.023978447473603517,0.3611342785654712,0.2522340045275825,3250.0,0.38722745144763493,0.10635748979568084,0.058048488912353424,0.10636739202676247,0.05818287232789464,0.09772596966221081,0.1818766707608466,-23.83330479618713,0.618251907746761,0.09001047189129693,0.939875733702708,0.8612277746626923,0.009897723523589575,0.03502919099249374,26.13137838218984,0.048327137546468404,0.003326499461250529,0.004241357508326181,219.71276068858697,135.14124108430047,109.94123288233011,131.51667681397615,219.71276068858697,151.996421101777,C:\BPA\data\Gunshot\GS - 111.jpg,gunshot
488915.0,0.009789263975652732,133.55087280273438,57.32115173339844,22.0,247.0,125.0,63.0,218.0,0.42920836158710945,0.9587083451304118,0.3052780135606394,0.30132436108526023,10178.0,48.036451169188446,19.0,87.79796554948881,1926.0,203.7882428319718,0.003939335058241207,0.010811695284456399,0.2783454509726862,0.2546669286696797,4108.0,0.40361564157987817,0.15509823820141683,0.08293863659195569,0.15274679731012705,0.08186840232699605,0.1443774130127213,0.2773214050903378,-14.896725406378803,0.7794442796805171,0.20611972703768336,0.8536344262350379,0.8686619775466345,0.0056477232615601836,0.0483395559048929,23.775550843815488,0.06388557806912992,0.004108653636638754,0.003932914295800277,183.8345254287555,115.02772056492438,97.0335416176636,133.72795271161655,183.8345254287555,126.29265005164497,C:\BPA\data\Gunshot\GS - 112.jpg,gunshot
706686.0,0.014149567515617491,139.21902465820312,53.62602996826172,12.0,245.0,155.0,50.0,197.0,0.38519182069208757,0.9377260327421337,0.3030468977735515,0.30597323280778166,98407.0,7.177233326897476,5.0,9.711819990850495,431.0,1970.3467884030113,0.0006102309249741608,0.0016211471208710303,0.7558507016777262,1.0,82010.0,0.8333756744947006,0.2448499516357957,0.10992249066381145,0.247062446790596,0.10325082771723122,0.2481300980141889,0.39078565827661793,-6.612725302739515,0.7282895090606012,0.5425437168918333,1.0,0.9176283501662725,0.0,0.11742050870364913,19.382158967483768,0.10932914174843122,0.00562845847758534,0.00295092806035588,179.42175874433624,120.83195365409814,128.4431869316783,101.07388288433619,179.42175874433624,131.86663808254303,C:\BPA\data\Gunshot\GS - 113.jpg,gunshot
493996.0,0.009890997917667788,133.5254364013672,57.33132553100586,23.0,247.0,126.0,63.0,218.0,0.42936631885857307,0.9590288613001771,0.30553486263046664,0.30064413477032204,10202.0,48.42148598314056,20.0,90.19887174707593,1959.0,204.26878103475892,0.0039656191548109706,0.011749082988526224,0.2702411291903548,0.2511272299549108,3956.0,0.38776710448931584,0.15721423474749327,0.08505355028339215,0.15470187830963858,0.08385772683478214,0.14494090799844253,0.2826781342967245,-13.075931404437721,0.7731621308674564,0.20649411297682427,0.8547972409582635,0.8641322922787373,0.005077983315197679,0.05067633797294648,25.04788398521874,0.06625504630729043,0.0040940788463829595,0.004386409019957737,183.78734038332294,115.01333006744994,97.0013056785885,133.7512672167386,183.78734038332294,126.36496651794751,C:\BPA\data\Gunshot\GS - 114.jpg,gunshot
493275.0,0.009876561749159058,101.25454711914062,49.57651901245117,13.0,205.0,94.0,40.0,174.0,0.4896226385220467,0.9319996142568477,0.3026932238609295,0.30261213319142466,10153.0,48.584162316556686,20.0,88.73535593781581,1984.0,203.28768220406855,0.004022097207440069,0.010847904313009984,0.2681965921402541,0.25460455037919827,3811.0,0.3753570373288683,0.15462956438506759,0.0826168037041472,0.15179602477247287,0.08107552659830915,0.14188518006318918,0.27261730670662754,-14.758848176500983,0.7732806243981551,0.2042491663861523,0.8251555945448373,0.8624288842596172,0.006610356224752111,0.0516103614695164,22.194844353937473,0.06892382103990327,0.004016250192641596,0.0036864502428711893,143.38043484871523,85.61904211646647,71.25938067001165,145.20494247630631,143.38043484871523,97.00382545233388,C:\BPA\data\Gunshot\GS - 115.jpg,gunshot
262328.0,0.005638067400275103,184.2102813720703,47.31953811645508,19.0,247.0,197.0,110.0,234.0,0.2568778328067402,0.9163237528436402,0.30374569241560184,0.301344118813089,14271.0,18.381893350150655,10.0,27.492037286540025,723.0,306.7185350756534,0.0027560916105028818,0.007349577628007685,0.25660430243150445,0.25261018849414896,2492.0,0.17461985845420783,0.08385826212546003,0.05333429843178155,0.08128645069443026,0.05074251720495283,0.07470723032508997,0.13875763614348727,-21.04572760208711,0.44355158427617336,0.044390468551677636,1.0,0.6857514385296881,0.0,0.13776189475159414,24.85227903606792,0.22609819121447028,0.0024468858589768066,0.003925204087716026,211.60871123174041,174.07633954438717,164.50191744686043,63.38301668140648,211.60871123174041,142.14258294958984,C:\BPA\data\Gunshot\GS - 116.jpg,gunshot
276606.0,0.005944936382393398,156.7068634033203,37.97473907470703,17.0,212.0,168.0,98.0,195.0,0.24232977425271246,0.8733879121302247,0.30320383505780785,0.3129107828463591,11984.0,23.081275033377835,14.0,32.44536441577678,748.0,257.5653370013755,0.0027042074286168774,0.00770048372052667,0.2889686248331108,0.26084779706275035,1957.0,0.1633010680907877,0.08371691899335205,0.055275726767246694,0.08106310080480608,0.05265049286029494,0.07361543682917077,0.1388704973562928,-19.630733875555364,0.4323044330202526,0.04253685913295475,0.908005395134248,0.6764099279306123,0.03436326884204447,0.16380173564753003,26.37409768408596,0.25726744186046513,0.0025610438700425443,0.004158346858659631,178.19022002414988,148.77176200082428,141.19958713838457,59.07529482368423,178.19022002414988,125.90489179555036,C:\BPA\data\Gunshot\GS - 117.jpg,gunshot
167515.0,0.0036003051925722145,192.7713623046875,40.364139556884766,54.0,247.0,203.0,129.0,236.0,0.2093886709359764,0.8895444321136083,0.30299973136734026,0.3124257529176492,8764.0,19.11398904609767,11.0,27.733266764965663,651.0,188.35969738651994,0.003886219144554219,0.009939408411187059,0.25844363304427204,0.26460520310360564,1835.0,0.20937927886809676,0.08751388969718918,0.05831141388436528,0.08500912286502776,0.056632852286697656,0.075535761874387,0.15141656278427812,-19.570301076309697,0.4536369877324419,0.04646128252091024,1.0,0.7196474995473691,0.0,0.10326335006846189,24.770712731815287,0.23063973063973064,0.0025525801972803,0.003994169726648967,222.46033489538252,181.70245649643314,171.87557532161298,61.85776796107811,222.46033489538252,150.79537354863743,C:\BPA\data\Gunshot\GS - 118.jpg,gunshot
369213.0,0.007935286279229712,195.43417358398438,49.28779220581055,12.0,247.0,213.0,122.0,230.0,0.25219638433620006,0.8375165720246492,0.3064193297635782,0.31479119099273317,57054.0,6.464857853962912,5.0,5.633062712236081,238.0,1226.2293672627236,0.0006452557435894656,0.0017703865569912646,0.7708136151715919,1.0,48769.0,0.8547866933080941,0.23172717721398398,0.12350767167118254,0.23266490946430418,0.11765454449102662,0.23652311274962973,0.3984949115085136,-7.053704100384558,0.6457464932166527,0.24344768237198589,1.0,0.9261845242638552,0.0,0.10165807831177481,17.93328640500256,0.08486889140010609,0.005418374161113217,0.0029460473473618804,221.6931879430031,183.43542345475376,188.33916736409606,54.795635581629035,221.6931879430031,147.20669369713417,C:\BPA\data\Gunshot\GS - 119.jpg,gunshot
