pattern_id,num_stains,area_mean,area_std,major_axis_mean,major_axis_std,minor_axis_mean,minor_axis_std,solidity_mean,solidity_std,impact_angle_mean,impact_angle_std,adjusted_impact_angle_mean,adjusted_impact_angle_std,distance_to_centroid_mean,distance_to_centroid_std,mean_intensity_mean,mean_intensity_std,intensity_stddev_mean,intensity_stddev_std,hue_mean_mean,hue_mean_std,hue_std_mean,hue_std_std,sat_mean_mean,sat_mean_std,sat_std_mean,sat_std_std,val_mean_mean,val_mean_std,val_std_mean,val_std_std,shade_mean,shade_std,evenness_mean,evenness_std,orientation_cvar,fract_stains_ring_15_25,fract_stains_ring_25_35,ring_with_max_stains,fract_stains_vbin_25_35,vbin_with_max_stains,valid_stains,orig_h,orig_w,resized_h,resized_w,label_int
GS-42,363.0,569.5537190082645,408.6575708681334,34.09085668212387,11.122958487908361,21.065868407194877,6.1721633074625375,0.9132207720830957,0.06119293612742544,0.6339671595067111,0.1188257719705219,0.6632804867600236,0.10436062163628067,7429.921298753539,3816.851525943551,193.67465398843842,13.410923622201127,18.396265753432868,4.035841507002087,9.221488996881838,3.5704596511773206,22.080330339951868,12.980869461285765,134.3137212836963,12.966401721956538,31.148688808286757,4.470730952216157,193.67465398843842,13.410923622201127,18.396265753432868,4.035841507002087,193.67465398843842,13.410923622201127,18.396265753432868,4.035841507002087,0.33352776079099977,0.41046831955922863,0.1928374655647383,6,0.14325068870523416,15,363.0,26000,36000,26000,36000,0
GS-43,1005.0,560.1960199004975,363.9474295255382,38.05096111828036,14.071758547215346,19.071380570228413,5.458856146601151,0.9072480073904122,0.06334338022136995,0.5311276503466476,0.14482657757614964,0.5595731251233997,0.1469318870776053,2545.078292067803,1602.7935200648785,203.38412272621053,11.51440206811871,12.894016276955467,3.3716931905258654,7.811652944632017,1.7693537766122867,6.7191532845295985,8.86253248590155,120.85136420348604,11.863258605216716,19.087385912222878,4.016629751350122,203.38412272621053,11.51440206811871,12.894016276955467,3.3716931905258654,203.38412272621053,11.51440206811871,12.894016276955467,3.3716931905258654,0.3445663394476798,0.03781094527363184,0.008955223880597015,4,0.022885572139303482,16,1005.0,25984,35433,25984,35433,0
GS-44,899.0,788.007786429366,1060.0325524193806,44.41416249780623,24.45051212956607,21.224060054212476,8.072509077237529,0.9154801149102985,0.06216066021559583,0.5162883794092716,0.15429617614728863,0.5406791920273966,0.15580888448132854,2951.857345997701,1821.7328558588706,186.84881452207537,14.469919940850266,15.93616783353787,4.611331091458015,7.730537856227869,2.9635570030272165,13.019290542331294,12.546507375346721,140.19383381202167,11.948843510594305,23.30253258301327,4.295504419948072,186.84881452207537,14.469919940850266,15.93616783353787,4.611331091458015,186.84881452207537,14.469919940850266,15.93616783353787,4.611331091458015,0.2804596293524154,0.11902113459399333,0.028921023359288096,6,0.027808676307007785,15,899.0,25984,35433,25984,35433,0
GS-45,1045.0,580.1033492822967,338.58336387001924,36.99317723659517,11.691374090047182,20.290484448873706,5.854663913494699,0.9032185557567726,0.06336225148287165,0.568916307761697,0.1323571135806837,0.6024732478497481,0.1276649189593894,3484.896866123391,2562.178772735312,206.70565953010774,13.0153702821832,15.21422347926373,3.6863104819936354,8.454422336781684,3.175884118963491,15.342999743037165,12.99208801650212,122.45478651675148,13.640798204971652,27.36650654711977,4.229818308638987,206.70565953010774,13.0153702821832,15.21422347926373,3.6863104819936354,206.70565953010774,13.0153702821832,15.21422347926373,3.6863104819936354,0.3548118161072322,0.12727272727272726,0.016267942583732056,4,0.06507177033492823,18,1045.0,25984,35433,25984,35433,0
GS-46,1222.0,604.3175122749591,464.6938375509751,37.55940149106539,13.237296777618216,20.643361601789692,6.55582125955932,0.8916854439598391,0.06491228877611177,0.5724503508870026,0.13214735937300293,0.6101808829345202,0.12603274051939303,3569.879534268328,2629.4466002892705,214.28970682332366,12.164816470654298,12.736627273695493,4.2238127580435885,8.479422927746818,1.3719283910124391,5.568800725499374,7.009290539651542,109.13364505192874,13.0609126071641,20.992854420968527,4.791393707412529,214.28970682332366,12.164816470654298,12.736627273695493,4.2238127580435885,214.28970682332366,12.164816470654298,12.736627273695493,4.2238127580435885,0.38385110971663705,0.08183306055646482,0.013911620294599018,5,0.10638297872340426,18,1222.0,25984,35433,25984,35433,0
GS-47,303.0,706.2739273927393,549.0835237976529,37.8679194381676,16.07864742733141,22.993248989050663,7.823457996174651,0.9158890989392175,0.06084365208771621,0.6351074463984518,0.13151557130053235,0.6621526457218933,0.12171923149466145,8011.902647700004,3766.281883449872,196.0231020930503,9.963357056138298,19.248196267425428,4.070553763596836,10.06735359864012,4.513129474012193,27.164105572281954,13.038695756896452,135.09872800572415,11.106675813720488,29.38543626315159,5.0591397295436025,196.0231020930503,9.963357056138298,19.248196267425428,4.070553763596836,196.0231020930503,9.963357056138298,19.248196267425428,4.070553763596836,0.27471070859414914,0.37293729372937295,0.1782178217821782,12,0.47854785478547857,31,303.0,25984,35433,25984,35433,0
GS-48,278.0,647.3453237410072,379.87353419482093,36.313918603110714,12.207750797570288,22.47059830425514,6.8398763569421,0.9236571714943601,0.06020144072783515,0.6422955190243053,0.14021271385274828,0.664167170545256,0.1285752038667738,8678.914887446706,3022.768146060435,180.08945587106265,9.070592729452594,20.268951046752715,4.453668829637064,9.261141650102015,3.8324390535291175,23.11578983296696,12.40763909908778,143.17597682262038,8.784783669812974,31.37940034412716,4.728314716382564,180.08945587106265,9.070592729452594,20.268951046752715,4.453668829637064,180.08945587106265,9.070592729452594,20.268951046752715,4.453668829637064,0.32716886036689763,0.4856115107913669,0.21942446043165467,16,0.44964028776978415,28,278.0,25984,35433,25984,35433,0
GS-49,17.0,483.3529411764706,183.23650740793664,36.87691931416146,13.821735777159777,17.789218467468075,3.5363809254447096,0.9040035684975551,0.06405262895869243,0.5455928519430896,0.20507862378557631,0.566976661155432,0.20503514163804468,10786.421422586496,1884.8868087349456,156.39645370522624,9.337339005648323,26.038477930932224,4.377759464669068,20.346983234275637,7.636255342920737,49.06391822160251,12.132834104713462,156.327310956053,8.341816150851146,38.026033205737214,5.051073389413672,156.39645370522624,9.337339005648323,26.038477930932224,4.377759464669068,156.39645370522624,9.337339005648323,26.038477930932224,4.377759464669068,0.09732153771013186,0.11764705882352941,0.5882352941176471,30,0.4117647058823529,25,17.0,25984,35433,25984,35433,0
GS-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,-1,0.0,33395,13098,33395,13098,0
GS-50,10.0,519.7,199.33949265846277,47.092322747470135,14.022681843777839,14.897804319046259,2.588826859269921,0.8808560046424063,0.08098038372117822,0.3437187829865652,0.13003825905349373,0.3633679550205592,0.12307105486483391,5849.78411782849,4938.191329745996,151.85722690208974,13.48292607245618,26.210013164639985,3.7619197671281666,23.538230899509138,9.823643160446347,53.48412464229112,10.697825270572933,159.43798248013124,6.672397347873614,39.344444199644705,3.2836507180104926,151.85722690208974,13.48292607245618,26.210013164639985,3.7619197671281666,151.85722690208974,13.48292607245618,26.210013164639985,3.7619197671281666,0.024987342223203313,0.1,0.0,9,0.1,0,10.0,25984,35433,25984,35433,0
