iter	Passed	Remaining
1037	59379	55031
1038	59434	54972
1039	59490	54914
1040	59545	54855
1041	59600	54795
1042	59657	54738
1043	59719	54685
1044	59775	54626
1045	59831	54569
1046	59887	54510
1047	59954	54462
1048	60009	54403
1049	60065	54344
1050	60123	54288
1051	60179	54230
1052	60238	54174
1053	60294	54116
1054	60350	54058
1055	60408	54001
1056	60462	53941
1057	60520	53884
1058	60579	53829
1059	60646	53781
1060	60704	53723
1061	60759	53665
1062	60816	53607
1063	60873	53550
1064	60929	53491
1065	60984	53433
1066	61040	53374
1067	61099	53319
1068	61154	53259
1069	61209	53201
1070	61266	53143
1071	61321	53084
1072	61381	53029
1073	61437	52970
1074	61503	52921
1075	61558	52862
1076	61615	52804
1077	61676	52750
1078	61733	52693
1079	61796	52641
1080	61853	52584
1081	61911	52527
1082	61966	52468
1083	62022	52410
1084	62077	52350
1085	62133	52292
1086	62187	52233
1087	62243	52174
1088	62298	52115
1089	62354	52057
1090	62411	51999
1091	62467	51942
1092	62523	51883
1093	62578	51824
1094	62632	51764
1095	62688	51706
1096	62743	51647
1097	62806	51595
1098	62863	51537
1099	62919	51479
1100	62976	51422
1101	63033	51364
1102	63090	51307
1103	63160	51260
1104	63216	51202
1105	63273	51144
1106	63328	51085
1107	63383	51027
1108	63438	50968
1109	63501	50915
1110	63565	50863
1111	63629	50812
1112	63684	50752
1113	63740	50695
1114	63800	50640
1115	63866	50589
1116	63929	50536
1117	63994	50485
1118	64055	50431
1119	64119	50379
1120	64185	50329
1121	64247	50275
1122	64308	50221
1123	64369	50166
1124	64429	50111
1125	64492	50058
1126	64550	50002
1127	64615	49950
1128	64674	49895
1129	64736	49841
1130	64800	49789
1131	64860	49733
1132	64917	49676
1133	64977	49621
1134	65037	49566
1135	65098	49511
1136	65162	49459
1137	65220	49402
1138	65280	49347
1139	65343	49294
1140	65406	49240
1141	65467	49186
1142	65527	49131
1143	65586	49074
1144	65656	49027
1145	65717	48972
1146	65778	48918
1147	65841	48864
1148	65901	48809
1149	65961	48754
1150	66032	48706
1151	66099	48656
1152	66165	48605
1153	66233	48555
1154	66305	48509
1155	66366	48454
1156	66428	48400
1157	66486	48343
1158	66550	48290
1159	66615	48238
1160	66687	48191
1161	66745	48135
1162	66803	48077
1163	66864	48023
1164	66926	47968
1165	66988	47914
1166	67052	47861
1167	67116	47808
1168	67181	47756
1169	67247	47705
1170	67320	47658
1171	67380	47603
1172	67443	47549
1173	67502	47493
1174	67562	47437
1175	67624	47382
1176	67682	47326
1177	67763	47284
1178	67822	47228
1179	67885	47174
1180	67946	47119
1181	68015	47069
1182	68077	47015
1183	68140	46961
1184	68207	46910
1185	68271	46857
1186	68332	46802
1187	68396	46749
1188	68457	46693
1189	68519	46639
1190	68583	46586
1191	68643	46530
1192	68704	46474
1193	68761	46416
1194	68823	46362
1195	68887	46308
1196	68947	46252
1197	69007	46197
1198	69072	46144
1199	69135	46090
1200	69199	46036
1201	69258	45979
1202	69317	45923
1203	69375	45866
1204	69434	45809
1205	69496	45754
1206	69558	45699
1207	69617	45643
1208	69680	45589
1209	69742	45534
1210	69805	45479
1211	69869	45426
1212	69928	45370
1213	69993	45317
1214	70053	45261
1215	70117	45207
1216	70179	45152
1217	70239	45096
1218	70298	45039
1219	70361	44984
1220	70420	44928
1221	70482	44873
1222	70549	44821
1223	70611	44766
1224	70672	44711
1225	70732	44655
1226	70793	44599
1227	70852	44542
1228	70913	44486
1229	70972	44429
1230	71038	44377
1231	71098	44321
1232	71157	44264
1233	71218	44208
1234	71282	44154
1235	71347	44101
1236	71411	44047
1237	71478	43995
1238	71555	43949
1239	71619	43895
1240	71686	43843
1241	71746	43787
1242	71807	43731
1243	71866	43674
1244	71926	43618
1245	71989	43563
1246	72047	43505
1247	72106	43449
1248	72166	43392
1249	72229	43337
1250	72295	43284
1251	72354	43227
1252	72417	43172
1253	72473	43114
1254	72528	43054
1255	72586	42996
1256	72643	42938
1257	72702	42881
1258	72757	42822
1259	72812	42762
1260	72869	42704
1261	72925	42645
1262	72980	42586
1263	73035	42526
1264	73090	42467
1265	73151	42411
1266	73206	42352
1267	73263	42293
1268	73319	42235
1269	73375	42176
1270	73435	42119
1271	73491	42061
1272	73548	42002
1273	73605	41944
1274	73662	41886
1275	73721	41829
1276	73777	41770
1277	73836	41713
1278	73894	41656
1279	73951	41597
1280	74010	41540
1281	74066	41482
1282	74127	41425
1283	74198	41375
1284	74260	41319
1285	74331	41269
1286	74389	41212
1287	74458	41160
1288	74514	41101
1289	74570	41042
1290	74628	40985
1291	74684	40926
1292	74739	40866
1293	74798	40809
1294	74854	40751
1295	74913	40693
1296	74970	40635
1297	75032	40579
1298	75088	40521
1299	75146	40463
1300	75204	40405
1301	75262	40347
1302	75319	40289
1303	75377	40231
1304	75434	40173
1305	75491	40115
1306	75555	40061
1307	75622	40008
1308	75680	39950
1309	75750	39899
1310	75821	39848
1311	75875	39788
1312	75932	39729
1313	75988	39671
